english_name,korean_name,image_url
Lissandra,리산드라,https://cdn.discordapp.com/attachments/1380885275382648914/1380931765526335642/Lissandra.png?ex=6845ac6d&is=68445aed&hm=a4bb21b7c659ab3eef7f55f409a55581e74cd55ac42344ada94bd92602731377&
Lucian,루시안,https://cdn.discordapp.com/attachments/1380885275382648914/1380931766013132902/Lucian.png?ex=6845ac6d&is=68445aed&hm=cf860ca72761415fef6d1cde78b30bfa1ef662442fcd12d4d0124a93f9b2d192&
Lulu,룰루,https://cdn.discordapp.com/attachments/1380885275382648914/1380931766373716100/Lulu.png?ex=6845ac6d&is=68445aed&hm=d8b2b673affde95296315630462f2dfc9c79da3142da837f7fcf282e302ad3b4&
Lux,럭스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931766726164501/Lux.png?ex=6845ac6d&is=68445aed&hm=0ecb936e72ffd3a8aa5ec7101bfd848edad1759a056fb24732b1a9186571a117&
Malphite,말파이트,https://cdn.discordapp.com/attachments/1380885275382648914/1380931767040475146/Malphite.png?ex=6845ac6d&is=68445aed&hm=46a5fb0297880a9671c02baa058d258ef1d9f7752228da9c744d2a19fc9e5c45&
Malzahar,말자하,https://cdn.discordapp.com/attachments/1380885275382648914/1380931767342731404/Malzahar.png?ex=6845ac6d&is=68445aed&hm=e2ae6b7dcc59209d6d6ea2b809d330bd7022ff83beae1a8556e58bbe920cc132&
Maokai,마오카이,https://cdn.discordapp.com/attachments/1380885275382648914/1380931763999608993/Maokai.png?ex=6845ac6d&is=68445aed&hm=768ef2bfda3b6a5e664db52baa63715aaf95c8365590b4590431af61cd946c95&
Master_Yi,마스터 이,https://cdn.discordapp.com/attachments/1380885275382648914/1380931917473382420/Master_Yi.png?ex=6845ac91&is=68445b11&hm=28a8101733b118be77601b6ef564f7e864313e44b467ff15eb4fad08507e0251&
Mel,멜,https://cdn.discordapp.com/attachments/1380885275382648914/1380931917863583805/Mel.png?ex=6845ac91&is=68445b11&hm=1633f81001e5f46c12104d1dd6ebc9e79f61fbdbbff588450dda94d669a1f138&
Milio,밀리오,https://cdn.discordapp.com/attachments/1380885275382648914/1380931918119440494/Milio.png?ex=6845ac91&is=68445b11&hm=600c0a82ace93569749c34b00f1ed9631d0ccb9d57ad1316efa72e46181f7b15&
Miss_Fortune,미스 포츈,https://cdn.discordapp.com/attachments/1380885275382648914/1380931918450786355/Miss_Fortune.png?ex=6845ac91&is=68445b11&hm=eb07cec7e053d513277597680cd1c232d6c4e35de6ed80ec49d5e370232208ce&
Mordekaiser,모데카이저,https://cdn.discordapp.com/attachments/1380885275382648914/1380931918706769990/Mordekaiser.png?ex=6845ac91&is=68445b11&hm=4351e219be9d693b6cc1b60e0b455822e6079db676ec28f38b8a32c0349b1470&
Morgana,모르가나,https://cdn.discordapp.com/attachments/1380885275382648914/1380931918979268638/Morgana.png?ex=6845ac91&is=68445b11&hm=d3df71599c07aa3ba6851e10558d1b5b5c9e737c6613be844f1b65b5683225b4&
Naafiri,나피리,https://cdn.discordapp.com/attachments/1380885275382648914/1380931919264350329/Naafiri.png?ex=6845ac92&is=68445b12&hm=3d55bb1b7f799b3c31e996a6420a5f11b274ccb728ec35d6c39aa86e309758d3&
Nami,나미,https://cdn.discordapp.com/attachments/1380885275382648914/1380931919570669658/Nami.png?ex=6845ac92&is=68445b12&hm=1b66c894f76366044134cbd20dddd970df21d47837fe3f3123678d457c96b720&
Nasus,나서스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931919927054470/Nasus.png?ex=6845ac92&is=68445b12&hm=7d554bea8b6bb577c3ce607078638b154fe4c511918423e2bca6701f372f9c43&
Nautilus,노틸러스,https://cdn.discordapp.com/attachments/1380885275382648914/1380931917163135016/Nautilus.png?ex=6845ac91&is=68445b11&hm=362e7ff33e310bbbf9a21724d01488cf543e5541c9c97e2d3d376f5b9a9f4b47&
Neeko,니코,https://cdn.discordapp.com/attachments/1380885275382648914/1380932068401348639/Neeko.png?ex=6845acb5&is=68445b35&hm=91403313953ad1ae72e7d15f4f5643a0d03d73fab20dd186ff1cd8ac93c47e3e&
Nidalee,니달리,https://cdn.discordapp.com/attachments/1380885275382648914/1380932068694823054/Nidalee.png?ex=6845acb5&is=68445b35&hm=a147ecf34322096d42a86b9ff734e4cf8a762eacfb8badf6a130ba394987eb54&
Nilah,닐라,https://cdn.discordapp.com/attachments/1380885275382648914/1380932069185687634/Nilah.png?ex=6845acb5&is=68445b35&hm=910a35365fee1104b46061186a1c0b23c5bb27bbfbe99e233fd53cebee85e7cf&
Nocturne,녹턴,https://cdn.discordapp.com/attachments/1380885275382648914/1380932069525553243/Nocturne.png?ex=6845acb5&is=68445b35&hm=026ede72e79bc78ad8723ac5af2640f4c7f142f49fa16e4b06afc38466efb064&
Nunu_Willump,누누와 윌럼프,https://cdn.discordapp.com/attachments/1380885275382648914/1380932069944852500/Nunu_Willump.png?ex=6845acb5&is=68445b35&hm=4be2eb9776d6d52e34adc7471e61d19be3a466c9ebb314699f8e35e6181a4178&
Olaf,올라프,https://cdn.discordapp.com/attachments/1380885275382648914/1380932070284726422/Olaf.png?ex=6845acb6&is=68445b36&hm=b2496ff269f1d45648627a456e5d20971d05451fd9830c59d771da50ab7edd88&
Orianna,오리아나,https://cdn.discordapp.com/attachments/1380885275382648914/1380932070687375561/Orianna.png?ex=6845acb6&is=68445b36&hm=043acf787441f0f167e16af0bf95dd8ec260f557369554a9ef027c557cfa77eb&
Ornn,오른,https://cdn.discordapp.com/attachments/1380885275382648914/1380932070997758022/Ornn.png?ex=6845acb6&is=68445b36&hm=0e1932c5c6ebd1328c250386ce8b16560d0314575ab3379e0d2abdb9c410aaaf&
Pantheon,판테온,https://cdn.discordapp.com/attachments/1380885275382648914/1380932071479967796/Pantheon.png?ex=6845acb6&is=68445b36&hm=320fb6301a715d5fe9dde29093e6bd8a96f6b8078d31813959be9bfb86a85ed2&
Poppy,뽀삐,https://cdn.discordapp.com/attachments/1380885275382648914/1380932068200153199/Poppy.png?ex=6845acb5&is=68445b35&hm=37986bdb10205a5305f5fe545e72aef5b789d69a8c918935d3ad6218864151bc&
Pyke,파이크,https://cdn.discordapp.com/attachments/1380885275382648914/1380932446023061606/Pyke.png?ex=6845ad0f&is=68445b8f&hm=767f76e26b7da726ad73dcb103f8b89dda0de469a5d31deaf7daedd99a62f0f0&
Qiyana,키아나,https://cdn.discordapp.com/attachments/1380885275382648914/1380932446278783116/Qiyana.png?ex=6845ad0f&is=68445b8f&hm=42d32abea6258f1fa2a6a38b6e557906f3e057ba07d8f4032e7f79d0a4b42010&
Quinn,퀸,https://cdn.discordapp.com/attachments/1380885275382648914/1380932446517727313/Quinn.png?ex=6845ad0f&is=68445b8f&hm=5a8676182f8ed1f353edae0b5ad0af32de8df0e25859825e4f858d46e3b029e1&
